name,category,price,stock,description
Copper Wire 1.5mm Red,wires,35.50,150,Single core copper wire for domestic light fittings
PVC Conduit Pipe 20mm,pipes,18.00,200,High impact resistance PVC conduit pipe for electrical routing
Brass Stop Cock 1/2 inch,sanitary,245.00,45,Heavy duty brass stop cock valve for main water lines
1-Way Modular Switch 6A,switches,12.00,500,Elegant white modular switch with smooth clicking mechanism
Acrylic Emulsion Paint White 1L,paint,280.00,30,Premium interior wall finish paint
Heavy Duty Adjustible Spanner 10 inch,tools,340.00,15,Carbon steel adjustible wrench with chrome plating
Fiberglass Thread Seal Tape,other,8.50,1000,PTFE Teflon thread seal tape for leak-proof pipe joints
LED Batten Tube Light 20W,switches,180.00,60,Energy efficient cool day light LED tube light
CPVC Socket 3/4 inch,pipes,6.50,120,Chlorinated polyvinyl chloride socket connector
Ceramic Wash Basin Wall Hung,sanitary,1250.00,10,High quality vitreous china white wash basin
