name,category,price,stock,description
"Polycab Single Core 0.75 sq mm Red Wire (90m)",wires,455.94,74,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 0.75 sq mm. Color: Red. Length: 90 meters. Suitable for FR PVC Insulated Cable - Light fittings."
"Polycab Single Core 0.75 sq mm Black Wire (90m)",wires,470.93,94,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 0.75 sq mm. Color: Black. Length: 90 meters. Suitable for FR PVC Insulated Cable - Light fittings."
"Polycab Single Core 0.75 sq mm Green Wire (90m)",wires,430.40,92,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 0.75 sq mm. Color: Green. Length: 90 meters. Suitable for FR PVC Insulated Cable - Light fittings."
"Polycab Single Core 0.75 sq mm Yellow Wire (90m)",wires,436.80,42,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 0.75 sq mm. Color: Yellow. Length: 90 meters. Suitable for FR PVC Insulated Cable - Light fittings."
"Polycab Single Core 0.75 sq mm Blue Wire (90m)",wires,459.42,25,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 0.75 sq mm. Color: Blue. Length: 90 meters. Suitable for FR PVC Insulated Cable - Light fittings."
"Polycab Single Core 1.0 sq mm Red Wire (90m)",wires,646.24,79,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 1.0 sq mm. Color: Red. Length: 90 meters. Suitable for FR PVC Insulated Cable - Lighting circuits."
"Polycab Single Core 1.0 sq mm Black Wire (90m)",wires,617.61,102,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 1.0 sq mm. Color: Black. Length: 90 meters. Suitable for FR PVC Insulated Cable - Lighting circuits."
"Polycab Single Core 1.0 sq mm Green Wire (90m)",wires,679.06,60,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 1.0 sq mm. Color: Green. Length: 90 meters. Suitable for FR PVC Insulated Cable - Lighting circuits."
"Polycab Single Core 1.0 sq mm Yellow Wire (90m)",wires,618.04,90,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 1.0 sq mm. Color: Yellow. Length: 90 meters. Suitable for FR PVC Insulated Cable - Lighting circuits."
"Polycab Single Core 1.0 sq mm Blue Wire (90m)",wires,661.61,28,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 1.0 sq mm. Color: Blue. Length: 90 meters. Suitable for FR PVC Insulated Cable - Lighting circuits."
"Polycab Single Core 1.5 sq mm Red Wire (90m)",wires,959.47,83,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 1.5 sq mm. Color: Red. Length: 90 meters. Suitable for FR PVC Insulated Cable - Power outlets & lighting."
"Polycab Single Core 1.5 sq mm Black Wire (90m)",wires,956.72,29,"Polycab Flame Retardant (FR) multi-strand copper wire. Size: 1.5 sq mm. Color: Black. Length: 90 meters. Suitable for FR PVC Insulated Cable - Power outlets & lighting."
